"","STAGE","DAYN","SEX","meanPropAbsent","sdPropAbsent","SDnoNANS","n","SE"
"49",2,34,1,0.365798369037056,0.119697549223293,0.119697549223293,2,0.0846389487472007
"50",2,34,2,0.107415388515655,0.0694468670380704,0.0694468670380704,2,0.0491063506147801
"51",2,34,12,0,0,0,2,0
"52",3,34,1,0.626057681245323,0.249400587141671,0.249400587141671,14,0.0666551106531709
"53",3,34,2,0.10055361129415,0.0912327876035553,0.0912327876035553,14,0.0243829881180586
"54",3,34,12,0.0057402183621585,0.0173368539742069,0.0173368539742069,14,0.0046334691240009
"55",3,39,1,0.792889974074526,0.215692398626077,0.215692398626077,42,0.0332820596693626
"56",3,39,2,0.0926599142228463,0.0861055725124852,0.0861055725124852,42,0.0132863782890803
"57",3,39,12,0.0045300635077769,0.0138507065257843,0.0138507065257843,42,0.00213721041627033
"58",3,43,1,0.761061946902655,NA,0,1,0
"59",3,43,2,0.244837758112094,NA,0,1,0
"60",3,43,12,0.0221238938053097,NA,0,1,0
"61",3,45,1,0.828582957494736,0.197160706800908,0.197160706800908,43,0.0300667259129044
"62",3,45,2,0.225750363703734,0.229797100712912,0.229797100712912,43,0.0350437293252967
"63",3,45,12,0.0561455082835975,0.10317349506114,0.10317349506114,43,0.015733810493042
"64",3,51,1,0.778687217701263,0.225123367190774,0.225123367190774,44,0.0339386245687819
"65",3,51,2,0.472502330692476,0.285866994548332,0.285866994548332,44,0.0430960709483359
"66",3,51,12,0.135987660871593,0.161974656217873,0.161974656217873,44,0.024418598191886
"67",3,57,1,0.821548225166045,0.207574705926611,0.207574705926611,43,0.0316548458910189
"68",3,57,2,0.605514790081173,0.251741069521926,0.251741069521926,43,0.0383901531960945
"69",3,57,12,0.18234515721663,0.177682730058828,0.177682730058828,43,0.0270963623067655
"70",3,61,1,1,NA,0,1,0
"71",3,61,2,1,NA,0,1,0
"72",3,61,12,0.345345345345345,NA,0,1,0
"73",3,63,1,0.913794887252903,0.163026144358932,0.163026144358932,35,0.0275564479073873
"74",3,63,2,0.624078736010518,0.28091314095427,0.28091314095427,35,0.0474829872573305
"75",3,63,12,0.267998429267061,0.188776312873002,0.188776312873002,35,0.0319090208033159
"76",3,69,1,0.828836566754811,0.250647447351743,0.250647447351743,27,0.0482371237334072
"77",3,69,2,0.641815618586615,0.290604915066568,0.290604915066568,27,0.0559269419805038
"78",3,69,12,0.24217189625438,0.230437881310279,0.230437881310279,27,0.0443477909353256
